[10-02 14:38:35] Score: -55, Best Score: -55, Avg Score: -55.0, Steps: 46
[10-02 14:38:36] Score: -96, Best Score: -55, Avg Score: -75.5, Steps: 5
[10-02 14:38:36] Score: -100, Best Score: -55, Avg Score: -83.66666666666667, Steps: 1
[10-02 14:38:50] Score: -3, Best Score: -3, Avg Score: -63.5, Steps: 98
[10-02 14:39:00] Score: -45, Best Score: -3, Avg Score: -59.8, Steps: 56
[10-02 14:39:09] Score: -56, Best Score: -3, Avg Score: -59.166666666666664, Steps: 45
[10-02 14:39:26] Score: 7, Best Score: 7, Avg Score: -49.714285714285715, Steps: 108
[10-02 14:39:31] Score: -83, Best Score: 7, Avg Score: -53.875, Steps: 18
[10-02 14:39:34] Score: -99, Best Score: 7, Avg Score: -58.888888888888886, Steps: 2
[10-02 14:39:37] Score: -100, Best Score: 7, Avg Score: -63.0, Steps: 1
[10-02 14:39:40] Score: -100, Best Score: 7, Avg Score: -66.36363636363636, Steps: 1
[10-02 14:39:55] Score: -14, Best Score: 7, Avg Score: -62.0, Steps: 87
[10-02 14:40:05] Score: -56, Best Score: 7, Avg Score: -61.53846153846154, Steps: 45
[10-02 14:40:16] Score: -36, Best Score: 7, Avg Score: -59.714285714285715, Steps: 65
[10-02 14:40:21] Score: -85, Best Score: 7, Avg Score: -61.4, Steps: 16
[10-02 14:40:26] Score: -82, Best Score: 7, Avg Score: -62.6875, Steps: 19
[10-02 14:40:29] Score: -100, Best Score: 7, Avg Score: -64.88235294117646, Steps: 1
[10-02 14:40:38] Score: -55, Best Score: 7, Avg Score: -64.33333333333333, Steps: 46
[10-02 14:40:41] Score: -95, Best Score: 7, Avg Score: -65.94736842105263, Steps: 6
[10-02 14:40:44] Score: -100, Best Score: 7, Avg Score: -67.65, Steps: 1
[10-02 14:40:49] Score: -87, Best Score: 7, Avg Score: -68.57142857142857, Steps: 14
[10-02 14:40:52] Score: -91, Best Score: 7, Avg Score: -69.5909090909091, Steps: 10
[10-02 14:40:59] Score: -72, Best Score: 7, Avg Score: -69.69565217391305, Steps: 29
[10-02 14:41:05] Score: -83, Best Score: 7, Avg Score: -70.25, Steps: 18
[10-02 14:41:11] Score: -71, Best Score: 7, Avg Score: -70.28, Steps: 30
[10-02 14:41:18] Score: -72, Best Score: 7, Avg Score: -70.34615384615384, Steps: 29
[10-02 14:41:22] Score: -91, Best Score: 7, Avg Score: -71.11111111111111, Steps: 10
