[10-02 14:08:39] Score: -118, Best Score: -118, Avg Score: -118.0, Steps: 3
[10-02 14:08:48] Score: 902, Best Score: 902, Avg Score: 392.0, Steps: 63
[10-02 14:08:49] Score: 8, Best Score: 902, Avg Score: 264.0, Steps: 9
[10-02 14:08:56] Score: 1010, Best Score: 1010, Avg Score: 450.5, Steps: 31
[10-02 14:09:04] Score: 638, Best Score: 1010, Avg Score: 488.0, Steps: 39
[10-02 14:09:11] Score: 938, Best Score: 1010, Avg Score: 563.0, Steps: 39
[10-02 14:09:17] Score: 413, Best Score: 1010, Avg Score: 541.5714285714286, Steps: 24
[10-02 14:09:23] Score: 284, Best Score: 1010, Avg Score: 509.375, Steps: 25
[10-02 14:09:36] Score: 1118, Best Score: 1118, Avg Score: 577.0, Steps: 79
[10-02 14:09:40] Score: 32, Best Score: 1118, Avg Score: 522.5, Steps: 13
[10-02 14:10:03] Score: 2702, Best Score: 2702, Avg Score: 720.6363636363636, Steps: 143
[10-02 14:10:09] Score: 266, Best Score: 2702, Avg Score: 682.75, Steps: 27
[10-02 14:10:12] Score: -136, Best Score: 2702, Avg Score: 619.7692307692307, Steps: 5
[10-02 14:10:15] Score: -100, Best Score: 2702, Avg Score: 568.3571428571429, Steps: 1
[10-02 14:10:25] Score: 563, Best Score: 2702, Avg Score: 568.0, Steps: 54
[10-02 14:10:30] Score: -73, Best Score: 2702, Avg Score: 527.9375, Steps: 18
[10-02 14:10:33] Score: -109, Best Score: 2702, Avg Score: 490.47058823529414, Steps: 2
[10-02 14:10:37] Score: -79, Best Score: 2702, Avg Score: 458.8333333333333, Steps: 12
[10-02 14:10:44] Score: 710, Best Score: 2702, Avg Score: 472.05263157894734, Steps: 31
[10-02 14:10:49] Score: -70, Best Score: 2702, Avg Score: 444.95, Steps: 11
[10-02 14:10:55] Score: 164, Best Score: 2702, Avg Score: 431.57142857142856, Steps: 25
[10-02 14:11:01] Score: 320, Best Score: 2702, Avg Score: 426.5, Steps: 21
[10-02 14:11:08] Score: 515, Best Score: 2702, Avg Score: 430.3478260869565, Steps: 26
[10-02 14:11:15] Score: 284, Best Score: 2702, Avg Score: 424.25, Steps: 25
[10-02 14:11:19] Score: 44, Best Score: 2702, Avg Score: 409.04, Steps: 5
[10-02 14:11:22] Score: -100, Best Score: 2702, Avg Score: 389.46153846153845, Steps: 1
[10-02 14:11:26] Score: -58, Best Score: 2702, Avg Score: 372.8888888888889, Steps: 3
[10-02 14:11:35] Score: 587, Best Score: 2702, Avg Score: 380.5357142857143, Steps: 38
[10-02 14:11:41] Score: -106, Best Score: 2702, Avg Score: 363.7586206896552, Steps: 15
[10-02 14:11:46] Score: -94, Best Score: 2702, Avg Score: 348.5, Steps: 7
[10-02 14:11:50] Score: 257, Best Score: 2702, Avg Score: 345.5483870967742, Steps: 8
[10-02 14:12:00] Score: 1004, Best Score: 2702, Avg Score: 366.125, Steps: 45
[10-02 14:12:06] Score: 140, Best Score: 2702, Avg Score: 359.27272727272725, Steps: 21
[10-02 14:12:09] Score: -118, Best Score: 2702, Avg Score: 345.2352941176471, Steps: 3
[10-02 14:12:13] Score: -109, Best Score: 2702, Avg Score: 332.25714285714287, Steps: 2
[10-02 14:12:17] Score: -100, Best Score: 2702, Avg Score: 320.25, Steps: 1
[10-02 14:12:23] Score: -10, Best Score: 2702, Avg Score: 311.3243243243243, Steps: 11
[10-02 14:12:33] Score: 857, Best Score: 2702, Avg Score: 325.6842105263158, Steps: 48
[10-02 14:12:46] Score: 1034, Best Score: 2702, Avg Score: 343.84615384615387, Steps: 75
[10-02 14:12:50] Score: -100, Best Score: 2702, Avg Score: 332.75, Steps: 1
[10-02 14:12:54] Score: -100, Best Score: 2702, Avg Score: 322.1951219512195, Steps: 1
[10-02 14:12:58] Score: -100, Best Score: 2702, Avg Score: 312.14285714285717, Steps: 1
[10-02 14:13:09] Score: 1079, Best Score: 2702, Avg Score: 329.9767441860465, Steps: 50
[10-02 14:13:18] Score: 836, Best Score: 2702, Avg Score: 341.47727272727275, Steps: 37
[10-02 14:13:27] Score: 611, Best Score: 2702, Avg Score: 347.46666666666664, Steps: 42
[10-02 14:13:51] Score: 2273, Best Score: 2702, Avg Score: 389.32608695652175, Steps: 144
[10-02 14:14:01] Score: 326, Best Score: 2702, Avg Score: 387.97872340425533, Steps: 47
[10-02 14:14:05] Score: -100, Best Score: 2702, Avg Score: 377.8125, Steps: 1
[10-02 14:14:09] Score: 257, Best Score: 2702, Avg Score: 375.3469387755102, Steps: 8
[10-02 14:14:14] Score: -112, Best Score: 2702, Avg Score: 365.6, Steps: 9
[10-02 14:14:18] Score: -49, Best Score: 2702, Avg Score: 357.47058823529414, Steps: 2
[10-02 14:14:22] Score: -67, Best Score: 2702, Avg Score: 349.3076923076923, Steps: 4
[10-02 14:14:26] Score: -100, Best Score: 2702, Avg Score: 340.8301886792453, Steps: 1
[10-02 14:14:38] Score: 1718, Best Score: 2702, Avg Score: 366.3333333333333, Steps: 59
[10-02 14:14:41] Score: -100, Best Score: 2702, Avg Score: 357.8545454545455, Steps: 1
[10-02 14:14:46] Score: -7, Best Score: 2702, Avg Score: 351.3392857142857, Steps: 4
[10-02 14:14:51] Score: -70, Best Score: 2702, Avg Score: 343.94736842105266, Steps: 11
[10-02 14:14:56] Score: -130, Best Score: 2702, Avg Score: 335.7758620689655, Steps: 11
[10-02 14:14:59] Score: -100, Best Score: 2702, Avg Score: 328.3898305084746, Steps: 1
[10-02 14:15:09] Score: 1322, Best Score: 2702, Avg Score: 344.95, Steps: 43
[10-02 14:15:21] Score: 1478, Best Score: 2702, Avg Score: 363.5245901639344, Steps: 59
[10-02 14:15:25] Score: -100, Best Score: 2702, Avg Score: 356.0483870967742, Steps: 1
[10-02 14:15:35] Score: 902, Best Score: 2702, Avg Score: 364.7142857142857, Steps: 43
[10-02 14:15:39] Score: -100, Best Score: 2702, Avg Score: 357.453125, Steps: 1
[10-02 14:15:45] Score: 458, Best Score: 2702, Avg Score: 359.0, Steps: 19
[10-02 14:15:57] Score: 1676, Best Score: 2702, Avg Score: 378.95454545454544, Steps: 57
[10-02 14:16:04] Score: 329, Best Score: 2702, Avg Score: 378.2089552238806, Steps: 20
[10-02 14:16:10] Score: 230, Best Score: 2702, Avg Score: 376.02941176470586, Steps: 11
[10-02 14:16:20] Score: 1143, Best Score: 2702, Avg Score: 387.1449275362319, Steps: 44
[10-02 14:16:25] Score: -118, Best Score: 2702, Avg Score: 379.92857142857144, Steps: 3
[10-02 14:16:29] Score: -100, Best Score: 2702, Avg Score: 373.16901408450707, Steps: 1
[10-02 14:16:34] Score: 68, Best Score: 2702, Avg Score: 368.93055555555554, Steps: 9
[10-02 14:16:41] Score: 455, Best Score: 2702, Avg Score: 370.1095890410959, Steps: 26
[10-02 14:16:48] Score: 782, Best Score: 2702, Avg Score: 375.6756756756757, Steps: 23
[10-02 14:16:52] Score: -100, Best Score: 2702, Avg Score: 369.3333333333333, Steps: 1
[10-02 14:16:57] Score: 26, Best Score: 2702, Avg Score: 364.8157894736842, Steps: 7
[10-02 14:17:06] Score: 850, Best Score: 2702, Avg Score: 371.1168831168831, Steps: 41
[10-02 14:17:11] Score: 26, Best Score: 2702, Avg Score: 366.6923076923077, Steps: 7
[10-02 14:17:16] Score: 128, Best Score: 2702, Avg Score: 363.67088607594934, Steps: 9
[10-02 14:17:20] Score: -100, Best Score: 2702, Avg Score: 357.875, Steps: 1
[10-02 14:17:30] Score: 500, Best Score: 2702, Avg Score: 359.6296296296296, Steps: 41
[10-02 14:17:34] Score: -109, Best Score: 2702, Avg Score: 353.9146341463415, Steps: 2
[10-02 14:17:41] Score: 326, Best Score: 2702, Avg Score: 353.578313253012, Steps: 27
[10-02 14:17:45] Score: -109, Best Score: 2702, Avg Score: 348.07142857142856, Steps: 2
[10-02 14:17:49] Score: -100, Best Score: 2702, Avg Score: 342.8, Steps: 1
